id,title,authors,journal,month,year,publication_type
4629,1 A System for Volumetric Robotic Mapping of Abandoned Mines,"Wolfram Burgard, Christopher Baker, Zachary Omohundro, Scott Thayer, William Whittaker",,,,
4630,Balanced multi-level multi-way partitioning of analog integrated circuits for hierarchical symbolic analysis $,"Sheldon X. -d. Tan A, C. -j. Richard Shi B",,,2003,
4631,Balanced Multi-Level Multi-Way Partitioning of Large Analog Circuits for Hierarchical Symbolic Analysis,"Xiang-dong Tan, C. -j. Richard Shi",,,,
4632,Balanced Multi-Level Multi-Way Partitioning of Large Analog Circuits for Hierarchical Symbolic Analysis.,"Xiang-Dong Tan, C.-J. Richard Shi",,,1999,inproceedings
4633,Balanced multi-level multi-way partitioning of analog integrated circuits for hierarchical symbolic analysis.,"Sheldon X.-D. Tan, C.-J. Richard Shi",Integration,,2003,article
4634,Active Control for Single Camera SLAM.,"Teresa A. Vidal-Calleja, Andrew J. Davison, Juan Andrade-Cetto, David W. Murray",,,2006,inproceedings
4635,Active Control for Single Camera SLAM,"Teresa Vidal-calleja, Juan Andrade-cetto",,,2006,
4636,Active Control for Single Camera SLAM,"Teresa Vidal-calleja, Juan Andrade-cetto",,,,
4637,Fluorescent Dye Based Optical Position Sensing for Planar Linear Motors.,"Gregory A. Fries, Alfred A. Rizzi, Ralph L. Hollis",,,1999,inproceedings
4638,Abstract Fluorescent Dye Based Optical Position Sensing for Planar Linear Motors,"Gregory A. Fries, Alfred A. Rizzi, Ralph L. Hollis",,,,
4639,Abstract Fluorescent Dye Based Optical Position Sensing for Planar Linear Motors,"Gregory A. Fries, Alfred A. Rizzi, Ralph L. Hollis",,,,
4640,Fluorescent Dye Based Optical Position Sensing for Planar Linear Motors,"Gregory A. Fries, Alfred A. Rizzi, Ralph L. Hollis",,,,
4641,"A survey of autonomic computing - degrees, models, and applications.","Markus C. Huebscher, Julie A. McCann",ACM Comput. Surv.,,2008,article
4642,"pdfauthor A survey of Autonomic Computing  degrees, models and applications","Markus C. Huebscher, Julie A. Mccann",,,,
4643,"pdfauthor A survey of Autonomic Computing  degrees, models and applications","Markus C. Huebscher, Julie A. Mccann",,,,
4644,Motion strategies for maintaining visibility of a moving target.,"Steven M. LaValle, Hctor H. Gonzlez-Baos, Craig Becker, Jean-Claude Latombe",,,1997,inproceedings
4645,Motion Strategies for Maintaining Visibility of a Moving Target,"Steven M. Lavalle, Craig Becker, Jean-claude Latombe",,,,
4646,Motion Strategies for Maintaining Visibility of a Moving Target,"Steven M. Lavalle, Craig Becker, Jean-claude Latombe",,,,
4647,Motion Strategies for Maintaining Visibility of a Moving Target,"Steven M. Lavalle, Craig Becker, Jean-claude Latombe",,,,
4648,Load Balanced Short Path Routing in Wireless Networks,Jie Gao,,,,
4649,Load Balanced Short Path Routing in Wireless Networks,Jie Gao,,,,
4650,Load Balanced Short Path Routing in Wireless Networks.,"Li Zhang 0001, Jie Gao",,,2004,inproceedings
4651,Secure Data Flow in a Calculus for Context Awareness,"Doina Bucur, Mogens Nielsen",,,,
4652,Secure Data Flow in a Calculus for Context Awareness.,"Doina Bucur, Mogens Nielsen",,,2008,inproceedings
4653,Secure Data Flow in a Calculus for Context Awareness,"Doina Bucur, Mogens Nielsen",,,,
4654,Secure Data Flow in a Calculus for Context Awareness,"Doina Bucur, Mogens Nielsen",,,,
4655,Feature Selection in Example-Based Image Retrieval Systems,"V. Shiv, Naga Prasad, A. G. Faheema, Subrata Rakshit",,,,
4656,Feature Selection in Example-Based Image Retrieval Systems.,"V. Shiv Naga Prasad, A. G. Faheema, Subrata Rakshit",,,2002,inproceedings
4657,Feature Selection in Example-Based Image Retrieval Systems,"V. Shiv, Naga Prasad, A. G. Faheema, Subrata Rakshit",,,,
4658,Evaluating WordNet-based Measures of Lexical Semantic Relatedness,Er Budanitsky Graeme Hirst,,,,
4659,Evaluating WordNet-based Measures of Lexical Semantic Relatedness.,"Alexander Budanitsky, Graeme Hirst",Computational Linguistics,,2006,article
4660,Evaluating WordNet-based Measures of Lexical Semantic Relatedness,Er Budanitsky Graeme Hirst,,,,
4661,Evaluating WordNet-based Measures of Lexical Semantic Relatedness,"Alexander Budanitsky, Graeme Hirst",,,,
4662,Bidders with Hard Valuation Problems ,"Kate Larson, Tuomas Sandholm",,,,
4663,Bidders with hard valuation problems.,"Kate Larson, Tuomas Sandholm",,,2002,inproceedings
4664,ABSTRACT Bidders with Hard Valuation Problems,Kate Larson,,,,
4665,Extracting usability information from user interface events.,"David M. Hilbert, David F. Redmiles",ACM Comput. Surv.,,2000,article
4666,Extracting Usability Information from User Interface Events,"David M. Hilbert, David, F. Redmiles",,,,
4667,Extracting Usability Information from User Interface Events,"David M. Hilbert, David, F. Redmiles",,,2000,
4668,Extracting Usability Information from User Interface Events,"David M. Hilbert, David, F. Redmiles",,,1998,
4669,Extracting Usability Information from User Interface Events,"David M. Hilbert, David, F. Redmiles",,,,
4670,Control for an Autonomous Bicycle.,"Neil H. Getz, Jerrold E. Marsden",,,1995,inproceedings
4671,Control for an Autonomous Bicycle,"Neil H. Getz, Jerrold E. Marsden",,,,
4672,Control for an Autonomous Bicycle,"Neil H. Getz, Jerrold E. Marsden",,,,
4673,End-to-end Routing for Dual-Radio Sensor Networks,"Thanos Stathopoulos, John Heidemann, Martin Lukac, Deborah Estrin, William J. Kaiser",,,,
4674,End-to-End Routing for Dual-Radio Sensor Networks.,"Thanos Stathopoulos, Martin Lukac, Dustin McIntire, John S. Heidemann, Deborah Estrin, William J. Kaiser",,,2007,inproceedings
4675,End-to-end Routing for Dual-Radio Sensor Networks,"Thanos Stathopoulos, John Heidemann, Martin Lukac, Deborah Estrin, William J. Kaiser",,,,
4676,Kinematic calibration using a plane constraint.,"Milan Ikits, John M. Hollerbach",,,1997,inproceedings
4677,Kinematic Calibration Using a Plane Constraint,"Milan Ikits, John M. Hollerbach",,,,
4678,Kinematic Calibration Using a Plane Constraint,Milan Ikits,,,,
4679,Kinematic Calibration Using a Plane Constraint,"Milan Ikits, John M. Hollerbach",,,,
4680,TBE: A Graphical Interface for Writing Trigger Rules in Active Databases,"Dongwon Lee, Wenlei Mao, Henry Chiu, Wesley W. Chu",,,1999,
4681,TBE: A Graphical Interface for Writing Trigger Rules in Active Databases.,"Dongwon Lee, Wenlei Mao, Henry Chiu, Wesley W. Chu",,,2000,inproceedings
4682,TBE: A GRAPHICAL INTERFACE FOR WRITING TRIGGER RULES IN ACTIVE DATABASES*,"Dongwon Lee, Wenlei Mar, Henry Chiu, Wesley W. Chu",,,,
4683,TBE: A Graphical Interface for Writing Trigger Rules in Active Databases,"Dongwon Lee, Wenlei Mao, Henry Chiu, Wesley W. Chu",,,,
4684,TBE: A GRAPHICAL INTERFACE FOR WRITING TRIGGER RULES IN ACTIVE DATABASES,"Dongwon Lee, Wenlei Mao, Henry Chiu, Wesley W. Chu",,,,
4685,Fluid-flow analysis of TCP Westwood with RED,"Jiwei Chen A, O Paganini A, M. Y. Sanadidi B, Ren Wang B, Mario Gerla B",,,2005,
4686,Fluid-flow Analysis of TCP Westwood with RED,"Jiwei Chen, O Paganini, Ren Wang, M. Y. Sanadidi, Mario Gerla",,,,
4687,Fluid-flow analysis of TCP Westwood with RED.,"Jiwei Chen, Fernando Paganini, Ren Wang, M. Y. Sanadidi, Mario Gerla",,,2003,inproceedings
4688,Fluid-flow Analysis of TCP Westwood with RED,"Jiwei Chen, O Paganini, Ren Wang, M. Y. Sanadidi, Mario Gerla",,,,
4689,Fluid-flow analysis of TCP Westwood with RED.,"Jiwei Chen, Fernando Paganini, M. Y. Sanadidi, Ren Wang, Mario Gerla",Computer Networks,,2006,article
4690,Fluid-flow Analysis of TCP Westwood with,"Jiwei Chen, O Paganini, M. Y. Sanadidi, Ren Wang, Mario Gerla",,,2005,
4691,Transport of an Object by six pre-attached Robots interacting via Physical Links.,"Roderich Gro, Francesco Mondada, Marco Dorigo",,,2006,inproceedings
4692,Transport of an Object by Six Pre-attached Robots Interacting via Physical Links,"Roderich Gro, Francesco Mondada, Marco Dorigo",,,,
4693,Transport of an Object by Six Pre-attached Robots Interacting via Physical Links,"Roderich Gro, Francesco Mondada, Marco Dorigo, Universit Libre De Bruxelles, Roderich Gro",,,2005,
4694,Transport of an Object by Six Pre-attached Robots Interacting via Physical Links,"Roderich Gro, Francesco Mondada, Marco Dorigo",,,,
4695,Data Exploration of Turbulence Simulations using a Database Cluster ABSTRACT,"Eric Perlman, Al Burns",,,,
4696,Data exploration of turbulence simulations using a database cluster.,"Eric A. Perlman, Randal C. Burns, Yi Li, Charles Meneveau",,,2007,inproceedings
4697,Data Exploration of Turbulence Simulations using a Database Cluster ABSTRACT,"Eric Perlman, Al Burns",,,,
4698,Input Decimation Ensembles: Decorrelation through Dimensionality Reduction,"Nikunj C. Oza, Kagan Tumer",,,,
4699,Input Decimation Ensembles: Decorrelation through Dimensionality Reduction,"Nikunj C. Oza, Kagan Tumer",,,,
4700,Input Decimation Ensembles: Decorrelation through Dimensionality Reduction.,"Nikunj C. Oza, Kagan Tumer",,,2001,inproceedings
4701,Abstract Bayesian Networks for Lossless Dataset Compression,"Scott Davies, Andrew Moore",,,,
4702,Abstract Bayesian Networks for Lossless Dataset Compression,Scott Davies,,,,
4703,Bayesian Networks for Lossless Dataset Compression.,"Scott Davies, Andrew W. Moore",,,1999,inproceedings
4704,Bayesian Networks for Lossless Dataset Compression,"Scott Davies, Andrew Moore",,,,
4705,A Reachability Predicate for Analyzing Low-Level Software,"Shaunak Chatterjee, Shuvendu K. Lahiri, Shaz Qadeer",,,,
4706,A Reachability Predicate for Analyzing Low-Level Software,"Shaunak Chatterjee, Shuvendu K. Lahiri, Shaz Qadeer",,,,
4707,A Reachability Predicate for Analyzing Low-Level Software.,"Shaunak Chatterjee, Shuvendu K. Lahiri, Shaz Qadeer, Zvonimir Rakamaric",,,2007,inproceedings
4708,A Reachability Predicate for Analyzing Low-Level Software,"Shaunak Chatterjee, Shuvendu K. Lahiri, Shaz Qadeer",,,,
4709,Efficiently Distributing Component-based Applications Across Wide-Area Environments,"Deni Llambiri, Er Totok, Vijay Karamcheti",,,,
4710,Efficiently Distributing Component-Based Applications Across Wide-Area Environments.,"Deni Llambiri, Alexander Totok, Vijay Karamcheti",,,2003,inproceedings
4711,Efficiently Distributing Component-Based Applications Across Wide-Area Environments,"Deni Llambiri, Er Totok, Vijay Karamcheti",,,,
4712,Efficiently Distributing Component-based Applications Across Wide-Area Environments,"Deni Llambiri, Er Totok, Vijay Karamcheti",,,,
4713,Mobility Control and Its Applications in Mobile Ad Hoc Networks ,"Jie Wu, Fei Dai",,,,
4714,Mobility Control and Its Applications in Mobile Ad Hoc Networks,"Jie Wu, Fei Dai",,,,
4715,Mobility Control and Its Applications in Mobile Ad Hoc,"Jie Wu, Fei Dai",,,,
4716,Mobility control and its applications in mobile ad hoc networks.,"Jie Wu 0001, Fei Dai 0001",IEEE Network,,2004,article
4717,ABSTRACT Verifying Policy-Based Security for Web Services,Karthikeyan Bhargavan,,,,
4718,ABSTRACT Verifying Policy-Based Security for Web Services,Karthikeyan Bhargavan,,,,
4719,Verifying policy-based security for web services.,"Karthikeyan Bhargavan, Cdric Fournet, Andrew D. Gordon",,,2004,inproceedings
4720,Combining Symmetry Breaking with Other Constraints: lexicographic ordering with sums ,"Brahim Hnich, Zeynep Kiziltan, Toby Walsh",,,,
4721,Combining Symmetry Breaking with Other Constraints: lexicographic ordering with sums ,"Brahim Hnich, Zeynep Kiziltan, Toby Walsh",,,,
4722,Combining Symmetry Breaking with Other Constraints: Lexicographic Ordering with Sums.,"Brahim Hnich, Zeynep Kiziltan, Toby Walsh",,,2004,inproceedings
4723,Combining Symmetry Breaking with Other Constraints: lexicographic ordering with sums ,"Brahim Hnich, Zeynep Kiziltan, Toby Walsh",,,,
4724,Combining Symmetry Breaking with Other Constraints: Lexicographic Ordering with Sums.,"Brahim Hnich, Zeynep Kiziltan, Toby Walsh",,,2004,inproceedings
4725,Brand identification using Gaussian derivative histograms.,"Daniela Hall, Fabien Pelisson, Olivier Riff, James L. Crowley",Mach. Vis. Appl.,,2004,article
4726,Brand Identification Using Gaussian Derivative Histograms.,"Fabien Pelisson, Daniela Hall, Olivier Riff, James L. Crowley",,,2003,inproceedings
4727,Brand Identification Using Gaussian Derivative Histograms,"Fabien Pelisson, Daniela Hall, Olivier Riff, James L. Crowley",,,,
4728,A multiscale regularity measure as a geometric criterion for image segmentation.,"Bruno Vasselle, Grard Giraudon",Mach. Vis. Appl.,,1994,article
4729,A Multi-Scale Regularity Measure as Geometric Criterion for Image Segmentation,"Bruno Vasselle, Gkrard Giraudon",,,1992,
4730,A Multi-Scale Regularity Measure as Geometric Criterion for Image Segmentation.,"Bruno Vasselle, Grard Giraudon",,,1992,inproceedings
4731,Adaptive bayesian filtering for vibration-based terrain classification.,"Philippe Komma, Christian Weiss, Andreas Zell",,,2009,inproceedings
4732,Adaptive Bayesian Filtering for Vibration-based Terrain Classification,"Christian Weiss, Andreas Zell",,,,
4733,Adaptive Bayesian Filtering for Vibration-based Terrain Classification,"Christian Weiss, Andreas Zell",,,,
4734,Automated insect identification through concatenated histograms of local appearance features: feature vector generation and region detection for deformable objects.,"Natalia Larios, Hongli Deng, Wei Zhang 0014, Matt Sarpola, Jenny Yuen, Robert Paasch, Andrew Moldenke, David A. Lytle, Salvador Ruiz-Correa, Eric N. Mortensen, Linda G. Shapiro, Thomas G. Dietterich",Mach. Vis. Appl.,,2008,article
4735,Automated Insect Identification through Concatenated Histograms of Local Appearance Features Feature Vector Generation and Region Detection for Deformable Objects,"Enrique Larios, Hongli Deng, Matt Sarpola, Jenny Yuen, Robert Paasch",,,,
4736,Automated Insect Identification through Concatenated Histograms of Local Appearance Features Feature Vector Generation and Region Detection for Deformable Objects,"Enrique Larios, Hongli Deng, Matt Sarpola, Jenny Yuen, Robert Paasch",,,,
4737,"DOI: 10.1080/01972240290075084 Time and Information Technology: Temporal Impacts on Individuals, Organizations, and Society","Heejin Lee, Edgar A. Whitley",,,2002,
4738,"Time and information technology: Temporal impacts on individuals, organizations and society.","Heejin Lee, Edgar A. Whitley",Inf. Soc.,,2002,article
4739,"DOI: 10.1080/0197224029007508 4 Time and Information Technology: Temporal Impacts on Individuals, Organizations, and Society","Heejin Lee, Edgar A. Whitley",,,2002,
4740,On Grasping and Manipulating Polygonal Objects with Disc-Shaped Robots in the Plane.,"Attawith Sudsang, Jean Ponce",,,1998,inproceedings
4741,On Grasping and Manipulating Polygonal Objects with Disc-Shaped Robots in the Plane,"Attawith Sudsang, Jean Ponce",,,,
4742,ON GRASPING AND MANIPULATING POLYGONAL OBJECTS WITH DISC-SHAPED ROBOTS IN THE PLANE,"Attawith Sudsang, Jean Ponce",,,,
4743,Using tactile and visual sensing with a robotic hand.,"Peter K. Allen, Andrew T. Miller, Paul Y. Oh, Brian S. Leibowitz",,,1997,inproceedings
4744,Using Tactile and Visual Sensing with a Robotic Hand Abstract,"Peter K. Allen, Andrew T. Miller, Paul Y. Oh, Brian S. Leibowitz",,,,
4745,Using Tactile and Visual Sensing with a Robotic Hand,"Peter K. Allen, Andrew T. Miller, Paul Y. Oh, Brian S. Leibowitz",,,,
4746,www.elsevier.com/locate/cagd Parametrization of approximate algebraic surfaces by lines ,"Sonia Prez-daz A, Juana Sendra B, J. Rafael Sendra A",,,2004,
4747,Parametrization of approximate algebraic curves by lines.,"Sonia Prez-Daz, Juana Sendra, J. Rafael Sendra",Theor. Comput. Sci.,,2004,article
4748,Parametrization of approximate algebraic,"Sonia Perez-d Az A, Juana Sendra B, J. Rafael Sendra A",,,,
4749,Parametrization of approximate algebraic surfaces by lines .,"Sonia Prez-Daz, Juana Sendra, J. Rafael Sendra",Computer Aided Geometric Design,,2005,article
4750,Learning Behavioral Parameterization using Spatio-Temporal Case-Based Reasoning.,"Maxim Likhachev, Michael Kaess, Ronald C. Arkin",,,2002,inproceedings
4751,Learning Behavioral Parameterization Using Spatio-Temporal Case-Based Reasoning *,"Maxim Likhachev, Michael Kaess, Ronald C. Arkin",,,,
4752,Learning Behavioral Parameterization Using Spatio-Temporal Case-Based Reasoning *,"Maxim Likhachev, Michael Kaess, Ronald C. Arkin",,,,
4753,Learning Behavioral Parameterization Using Spario-Temporal Case-Based Reasoning,"Maxim Likhachev, Michael Kaess, Ronald C. Arkin",,,,
4754,Towards robust multi-cue integration for visual tracking.,"Martin Spengler, Bernt Schiele",Mach. Vis. Appl.,,2003,article
4755,Towards Robust Multi-Cue Integration for Visual Tracking,"Martin Spengler, Bernt Schiele",,,,
4756,Towards Robust Multi-cue Integration for Visual Tracking.,"Martin Spengler, Bernt Schiele",,,2001,inproceedings
4757,Towards Robust Multi-cue Integration for Visual Tracking,"Martin Spengler, Bernt Schiele",,,,
4758,Towards Robust Multi-Cue Integration for Visual Tracking,"Martin Spengler, Bernt Schiele",,,,
4759,Linked Active Content: A Service for Digital Libraries for Education,"David Yaron, D. Jeff Milton, Rebecca Freeland",,,,
4760,Linked Active Content for Digital Libraries for Education.,"David Yaron, D. Jeff Milton, Rebecca Freeland",J. Digit. Inf.,,2002,article
4761,Linked active content: a service for digital libraries for education.,"David Yaron, D. Jeff Milton, Rebecca Freeland",,,2001,inproceedings
4762,A Near Linear Time Approximation Scheme for Steiner Tree among Obstacles in the Plane,"Siamak Tazari, Matthias Mller-hannemann",,,,
4763,"adapted by Paul Molitor, Halle Permit granted by University Stuttgart [25/05/2007] A Near Linear Time Approximation Scheme for Steiner Tree among Obstacles in the Plane","Matthias Mller-hannemann, Siamak Tazari, Matthias Mller-hannemann, Siamak Tazari, Matthias Mller-hannemann, Siamak Tazari",,,,
4764,A Near Linear Time Approximation Scheme for Steiner Tree Among Obstacles in the Plane.,"Matthias Mller-Hannemann, Siamak Tazari",,,2007,inproceedings
4765,A near linear time approximation scheme for Steiner tree among obstacles in the plane.,"Matthias Mller-Hannemann, Siamak Tazari",Comput. Geom.,,2010,article
4766,Fast Context-Free Grammar Parsing Requires Fast Boolean Matrix Multiplication,Lillian Lee,,,,
4767,Fast Context-Free Parsing Requires Fast Boolean Matrix Multiplication.,Lillian Lee,,,1997,inproceedings
4768,Fast Context-Free Parsing Requires Fast Boolean Matrix Multiplication,Lillian Lee,,,,
4769,Fast Context-Free Grammar Parsing Requires Fast Boolean Matrix Multiplication,Lillian Lee,,,,
4770,Fast Context-Free Grammar Parsing Requires Fast Boolean Matrix Multiplication,Lillian Lee,CoRR,,2001,article
4771,Fast Context-Free Parsing Requires Fast Boolean Matrix Multiplication,Lillian Lee,CoRR,,1997,article
4772,Fast context-free grammar parsing requires fast boolean matrix multiplication.,Lillian Lee,J. ACM,,2002,article
4773,Simplifying proofs in Fitch-style natural deduction systems,Konstantine Arkoudas,,,2004,
4774,Simplifying proofs in Fitch-style natural deduction systems,Konstantine Arkoudas,,,2005,
4775,Simplifying Proofs in Fitch-Style Natural Deduction Systems.,Konstantine Arkoudas,J. Autom. Reasoning,,2005,article
4776,NOMAD: A Demonstration of the Transforming Chassis.,"Eric Rollins, Jonathan E. Luntz, Alex Foessel, Benjamin Shamah, William Whittaker",,,1998,inproceedings
4777,Nomad: A Demonstration of the Transforming Chassis,"E. Rollins, J. Luntz, A. Foessel, B. Shamah, W. Whittaker",,,,
4778,Nomad: A Demonstration of the Transforming Chassis,"E. Rollins, J. Luntz, A. Foessel, B. Shamah, W. Whittaker",,,,
4779,Nomad: A Demonstration of the Transforming Chassis,"E. Rollins, J. Luntz, B. Shamah, W. Whittaker",,,,
4780,Automatic detection of dust devils and clouds on Mars.,"Andres Castano, Alex Fukunaga, Jeffrey J. Biesiadecki, Lynn Neakrase, Patrick Whelley, Ronald Greeley, Mark Lemmon, Rebecca Castao, Steve A. Chien",Mach. Vis. Appl.,,2008,article
4781,AUTONOMOUS DETECTION OF DUST DEVILS AND CLOUDS ON MARS,"Andres Castano, Alex Fukunaga, Jeffrey Biesiadecki, Lynn Neakrase, Patrick Whelley, Ronald Greeley, Mark Lemmon, Rebecca Castano, Steve Chien",,,,
4782,Autonomous Detection of Dust Devils and Clouds on Mars.,"Andres Castano, Alex Fukunaga, Jeffrey J. Biesiadecki, Lynn Neakrase, Patrick Whelley, Ronald Greeley, Mark Lemmon, Rebecca Castao, Steve A. Chien",,,2006,inproceedings
4783,Iterative Decoding of Compound Codes by Probability Propagation in Graphical Models,"Frank R. Kschischang, Brendan J. Frey",,,,
4784,Iterative Decoding of Compound Codes by Probability Propagation in Graphical Models,"Frank R. Kschischang, Brendan J. Frey",,,,
4785,Iterative Decoding of Compound Codes by Probability Propagation in Graphical Models.,"Frank R. Kschischang, Brendan J. Frey",IEEE Journal on Selected Areas in Communications,,1998,article
4786,A Reinforcement Learning Model of Selective Visual Attention ,"Silviu Minut, Sridhar Mahadevan",,,,
4787,A Reinforcement Learning Model of Selective Visual Attention,"Silviu Minut, Sridhar Mahadevan",,,,
4788,A reinforcement learning model of selective visual attention.,"Silviu Minut, Sridhar Mahadevan",,,2001,inproceedings
4789,A Reinforcement Learning Model of Selective Visual Attention,"Silviu Minut, Sridhar Mahadevan",,,,
4790,A Reinforcement Learning Model of Selective Visual Attention,"Silviu Minut, Sridhar Mahadevan",,,,
4791,Timed Default Concurrent Constraint Programming,"Vijay Saraswat, Radha Jagadeesan, Vineet Gupta",,,,
4792,jcc: Integrating Timed Default Concurrent Constraint Programming into Java.,"Vijay A. Saraswat, Radha Jagadeesan, Vineet Gupta",,,2003,inproceedings
4793,Default Timed Concurrent Constraint Programming.,"Vijay A. Saraswat, Radha Jagadeesan, Vineet Gupta",,,1995,inproceedings
4794,Timed Default Concurrent Constraint Programming,"Vijay Saraswat, Radha Jagadeesan",,,,
4795,jcc: Integrating Timed Default Concurrent Constraint Programming into JAVA,"Vijay Saraswat, Radha Jagadeesan, Vineet Gupta",,,,
4796,Timed Default Concurrent Constraint Programming.,"Vijay A. Saraswat, Radha Jagadeesan, Vineet Gupta",J. Symb. Comput.,,1996,article
4797,Implementation of QoS-Provisioning System for Voice over IP,"Shengquan Wang, Zhibin Mai, Walt Magnussen, Dong Xuan, Wei Zhao",,,,
4798,Implementation of QoS-Provisioning System for Voice over IP,"Shengquan Wang, Zhibin Mai, Walt Magnussen, Dong Xuan, Wei Zhao",,,,
4799,Implementation of QoS-Provisioning System for Voice over IP.,"Shengquan Wang, Zhibin Mai, Walt Magnussen, Dong Xuan, Wei Zhao",,,2002,inproceedings
4800,Design and Implementation of QoS-Provisioning System for Voice over IP,"Shengquan Wang, Zhibin Mai, Student Member, Dong Xuan, Wei Zhao",,,,
4801,Design and Implementation of QoS-Provisioning System for Voice over IP,"Shengquan Wang, Zhibin Mai, Dong Xuan, Wei Zhao",,,,
4802,Design and Implementation of QoS-Provisioning System for Voice over IP.,"Shengquan Wang, Zhibin Mai, Dong Xuan, Wei Zhao",IEEE Trans. Parallel Distrib. Syst.,,2006,article
4803,Delay Analysis in Temperature-Constrained Hard Real-Time Systems with General Task Arrivals,Shengquan Wang,,,,
4804,Delay Analysis in Temperature-Constrained Hard Real-Time Systems with General Task Arrivals.,"Shengquan Wang, Riccardo Bettati",,,2006,inproceedings
4805,Delay Analysis in Temperature-Constrained Hard Real-Time Systems with General Task Arrivals,Shengquan Wang,,,,
4806,Delay Analysis in Temperature-Constrained Hard Real-Time Systems with General Task Arrivals,"Shengquan Wang, Riccardo Bettati",,,2006,
4807,Online updating appearance generative mixture model for meanshift tracking.,"Jilin Tu, Hai Tao, Thomas S. Huang",Mach. Vis. Appl.,,2009,article
4808,Online Updating Appearance Generative Mixture Model for Meanshift Tracking.,"Jilin Tu, Hai Tao, Thomas S. Huang",,,2006,inproceedings
4809,Online Updating Appearance Generative Mixture Model for Meanshift Tracking,"Jilin Tu, Thomas Huang, Elec Engr Dept",,,,
4810,The Imalab method for vision systems.,Augustin Lux,Mach. Vis. Appl.,,2004,article
4811,The Imalab Method for Vision Systems.,Augustin Lux,,,2003,inproceedings
4812,The Imalab Method for Vision Systems,Augustin Lux,,,,
4813,A voice-commandable robotic forklift working alongside humans in minimally-prepared outdoor environments.,"Seth J. Teller, Matthew R. Walter, Matthew E. Antone, Andrew Correa, Randall Davis, Luke Fletcher, Emilio Frazzoli, Jim Glass, Jonathan P. How, Albert S. Huang, Jeong Hwan Jeon, Sertac Karaman, Brandon Luders, Nicholas Roy, Tara N. Sainath",,,2010,inproceedings
4814,A Voice-Commandable Robotic Forklift Working Alongside Humans in Minimally-Prepared Outdoor Environments,"Seth Teller, Matthew R. Walter, Matthew Antone, Andrew Correa, Randall Davis, Luke Fletcher, Emilio Frazzoli, Jim Glass, Jonathan P. How, Albert S. Huang, Jeong Jeon, Sertac Karaman, Brandon Luders, Nicholas Roy, Tara Sainath",,,,
4815,A Voice-Commandable Robotic Forklift Working Alongside Humans in Minimally-Prepared Outdoor Environments,"Seth Teller, Matthew R. Walter, Matthew Antone, Andrew Correa, Randall Davis, Luke Fletcher, Emilio Frazzoli, Jim Glass, Jonathan P. How, Albert S. Huang, Jeong Jeon, Sertac Karaman, Brandon Luders, Nicholas Roy, Tara Sainath",,,,
4816,Efficient and Provably-Secure Identity-Based Signatures and Signcryption from Bilinear Maps,"Paulo S. L. M. Barreto, Benot Libert, Noel Mccullagh, Jean-jacques Quisquater, Escola Politcnica",,,,
4817,Efficient and Provably-Secure Identity-Based Signatures and Signcryption from Bilinear Maps,"Paulo S. L. M. Barreto, Benot Libert, Noel Mccullagh, Jean-jacques Quisquater, Escola Politcnica",,,,
4818,Efficient and Provably-Secure Identity-Based Signatures and Signcryption from Bilinear Maps.,"Paulo S. L. M. Barreto, Benot Libert, Noel McCullagh, Jean-Jacques Quisquater",,,2005,inproceedings
4819,Efficient and Provably-Secure Identity-Based Signatures and Signcryption from Bilinear Maps,"Paulo S. L. M. Barreto, Noel Mccullagh",,,,
4820,Preemptive RANSAC for live structure and motion estimation.,David Nistr,Mach. Vis. Appl.,,2005,article
4821,1 Preemptive RANSAC for Live Structure and Motion Estimation,"David Nistr, David Nistr",,,,
4822,Preemptive RANSAC for Live Structure and Motion Estimation.,David Nistr,,,2003,inproceedings
4823,Verifying Balanced Trees,"Zohar Manna, Henny B. Sipma, Ting Zhang",,,,
4824,Verifying Balanced Trees.,"Zohar Manna, Henny B. Sipma, Ting Zhang",,,2007,inproceedings
4825,Verifying Balanced Trees,"Zohar Manna, Henny B. Sipma, Ting Zhang",,,,
4826,HD-rules: a hybrid system interfacing Prolog with DL-reasoners,"Wodzimierz Drabent, Jakob Henriksson, Jan Mauszyski, Fakultt Fr Informatik, Technische Universitt Dresden",,,,
4827,HD-rules: A Hybrid System Interfacing Prolog with DL-reasoners.,"Wlodzimierz Drabent, Jakob Henriksson, Jan Maluszynski",,,2007,inproceedings
4828,HD-rules: a hybrid system interfacing Prolog with DL-reasoners,"Wodzimierz Drabent, Jakob Henriksson, Jan Mauszyski, Fakultt Fr Informatik, Technische Universitt Dresden",,,,
4829,HD-rules: a hybrid system interfacing Prolog with DL-reasoners ,"Wodzimierz Drabent, Jakob Henriksson, Jan Mauszyski, Fakultt Fr Informatik, Technische Universitt Dresden",,,,
4830,EVERY 1-GENERIC COMPUTES A PROPERLY 1-GENERIC,"Barbara F. Csima, Rod Downey, Noam Greenberg, Denis R. Hirschfeldt, Joseph, S. Miller",,,,
4831,EVERY 1-GENERIC COMPUTES A PROPERLY 1-GENERIC,"Barbara F. Csima, Rod Downey, Noam Greenberg, Denis R. Hirschfeldt, Joseph, S. Miller",,,,
4832,Every 1-generic computes a properly 1-generic.,"Barbara F. Csima, Rod Downey, Noam Greenberg, Denis R. Hirschfeldt, Joseph S. Miller",J. Symb. Log.,,2006,article
