id,title,length,artist,album,year,language
8007,002-Fried Bananas,12m 18sec,Dexter Gordon,Live at the Amsterdam Paradiso (1994),null,Eng.
8008,001-We're Going Up to the Mountain,unknown,Red Rain,Transition (2004),null,Eng.
8009,Introducción (Asalto Navideño),02: 59,Willie Colón,Asalto Navideño,1972,
8010,"""When I Think of Laura Nyro"" (A Day in the Life)",00:59,Jane Siberry,A Day in the Life,2007,
8011,001-The Boys Are Leaving Town,4m 1sec,Japandroids,Post-Nothing (2009),null,Eng.
8012,001-Why_Not,2m 58sec,Hilary Duff,The Lizzie McGuire Movie (2003),null,Eng.
8013,0A4-The Hurt,3m 29sec,Iain Matthews,Spot of Interference (1980),null,Eng.
8014,010-De todo un poco,2m 28sec,Michael Lloyd & Le Disc,More Dirty Dancing (unknown),null,Eng.
8015,010-Wreck on the Highway,1m 49sec,Sinkhole,Groping for Trout (1993),null,Eng.
8016,"Sonata No 7 in D minor, Part 4 (Twelve Violin Sonatas (Elizabeth Wallfisch))",02:12,Arcangelo Corelli,Twelve Violin Sonatas (Elizabeth Wallfisch),,
8017,Letters Home (Continent),,CFCF,Continent,2009,04:59
8018,Sudden Death - Spam,275,,Die Laughing,05,English
8019,Presagios de amor - Only Love Can Sustain,3.567,Luis Alberto Spinetta,,'79,English
8020,Just to Se e You Move,242000,The Verve,First Wigan Demos,1991,English
8021,Who Will Buy (The Colors of Brazil / African Blue),02:21,Baxter,The Colors of Brazil / African Blue,2005,
8022,Nun ruhen alle Wälder (A Tribute to Paul Gerhardt) Gerhardt),03:49,Dieter Falk,A Tribute to Paul Gerhardt,2006,
8023,The Cherry Valence - World of Trouble,292,,Riffin,,null
8024,The Fall (Arpeggiators remix) (Remix EP),05:08,Superspy,Remix EP,1994,
8025,"Good Morning, Here Is Jan (... We Are Still Alive)",00:00,Latterman,... We Are Still Alive,2007,
8026,007-Drunkest Man,6m 13sec,Linus Pauling Quartet,C6H8O6 (unknown),null,unknown
8027,002-Lord of All Fevers and Plague,unknown,Morbid Angel,"2001-07-19: Long Beach, CA, USA (unknown)",null,Eng.
8028,Oktober - Rooi Kar,5.00 6,Pieter Smith,,,Dutch
8029,I Couldn't Love You,223443,Matt Lax & Nearly Beloved,Hurrricane & A Tumbleweed,2002,English
8030,034-Historical Perspective (d),unknown,Keith Mansfield,Historical Perspective (1982),null,Eng.
8031,008-Hard To Tame,3m 43sec,My Little Cheap Dictaphone,The Smoke Behind the Sound (unknown),null,Eng.
8032,Billie Jean - NOW That's What I Call 30 Years,4.917,Michael Jackson,,'13,English
8033,Salt-Water Ballads: I. Port of Many Ships (Silent Noon),02:16,Frederick Keel,Silent Noon,2004,
8034,"Mirage (full mix) - Hard Rock Guitar, Volume 3",0.5,Palo Chodelka & Lubo Lichý,,,English
8035,0B3-No Warning,3m 29sec,King Crimson,Three of a Perfect Pair (1984),null,Eng.
8036,Leon Russell - Down on Deep River,238,,Will o' the Wisp,95,English
8037,"Denis Lavant, Kristina Rady & Serge Teyssot-Gay - Ça fait mal",381,,Attila Jozsef : À cœur pur,,null
8038,Ornella Vanoni - Aria,216,,Ornella &...,86,Italian
8039,Just Stay (Different in the Distance),04:14,Little Scout,Different in the Distance,2009,
8040,003-Would?,3m 46sec,Alice in Chains,"1993-04-12: Brens Event Center, Irving, CA (unknown)",null,Eng.
8041,005-Check on It,3m 31sec,null,#1's (2050),null,Eng.
8042,Picchio dal pozzo - La bolla,269,,Picchio dal pozzo,01,Italian
8043,The Anthem Medley (club mix) - Hopelessly Devoted to You,7.067,Sonia,,'94,English
8044,009-Tu Mi Seduccion,3m 7sec,Athenea,Top Hits Andorra 2003 (unknown),null,Spa.
8045,The Rhythm,270000,Peter Gun,Unfold #1,1007,English
8046,Ulnder My Thumb,223000,Truth and Janey,No Ret for the Wicked,1976,English
8047,007-Love Is a Dangerous Game,4m 9sec,Thelma Houston,Qualifying Heat (1984),null,Eng.
8048,Waylon Jennings & Willie Nelson - Good Hearted Woman,182,,The Class of Country,,English
8049,Vivid Whitsun,276000,Molly Half Head,Sulk,1993,Englihs
8050,The Prophecy - The Last Warning,4.233,Altar,,'93,English
8051,Pink Floyd - Astronomy Domine,252,,The Piper at the Gates of Dawn,87,English
8052,Ponto em Retorno - Groove Junkies 1995-2005,5.143,Cool Hipnoise,,,Portuguese
8053,005-Les mots,4m 48sec,Seal feat. Mylene Farmer,Seal Hits (unknown),null,Eng.
8054,013-Plaistow Patricia,4m 53sec,Ian Dury and The Blockheads,Reasons to Be Cheerful (unknown),null,Eng.
8055,Like Nobody Do - The Ruling Class,2.883,Louis Philippe,,'99,English
8056,Realta na Maidne - Nocturne Voices,5.741,[unknown],,,
8057,Raga Ooty (Slight Return) - Raga Ooty / The Nilgiri Plateau,,Oren Ambarchi,,'12,English
8058,The Durutti Column - Lies of Mercy,166,,Amigos em Portugal,05,English
8059,Lightning (Flight or Flight),04:34,Achille Lauro,Flight or Flight,2012,
8060,Half-Caste Woman - The Noel CowaPrd Album,3.536,Noël Coward,,'91,English
8061,"Quartet for Strings No. 17 in B-flat major, K. 458 ""Haydn Quartetti"", ""Hunt"": II. Minuetto. Moderato & Trio",259706,Wolfgang Amadeus Mozart,Streichquartette Nr. 3 und 4 / Mozartreum-Quartett Salzburg,,English
8062,Mother's Last Son,196000,Kristian,Kristian / Indian Girl,2010,Egnlish
8063,088-Revolving Doors :60 (a),1m 0sec,Dick Walter,Jazz Anthology 1 (unknown),null,Eng.
8064,Cactus Flower - Promos & Commercials,0.483,Kevin Jones,,,English
8065,We Neverr Fight or Disagree (Gravity Gets Things Done.),04:11,Pale,Gravity Gets Things Done.,2004,
8066,Trailer Park Boneyard,209000,The Coathangers,Larceny & Old Lace,2011,English
8067,Everlasting Sun - Sundayrunners,,Sundayrunners,,,
8068,Sweeet 'n Candy - Kollegium,null,,Dishes !,04,[Multiple languages]
8069,Lill,,Lauri Nebel,Luguauk,2003,Estonian
8070,Inuarullikkat Ittuat Kinaassutsiminnik Oqaluttualerpoq,130493,Silamiiut,Arnajaraq,2008,Greenlandic
8071,SBD - Mannen med dollar,136,,Hur snygg é du då?,01,Swedish
8072,The Girl's Alright With Me (Emperors of Soul),02:58,Temptations,Emperors of Soul,,
8073,006-Reveries (edit),3m 40sec,Dimitri From Paris,Sacrebleu (1999),null,Fre.
8074,008-[untitled],3m 29sec,American Heritage,Through the Age of Quarrel and Into the Era of Putting Up With It (2001),null,Eng.
8075,Ludwig van Beethoven - Symphonie Nr. 5 c-moll op. 67: I. Allegro con brio,null,,Symphonie Nr. 5,70,German
8076,006-Shiver X (Foundation 451 Mini-mix),2m 5sec,The Secret Meeting,Shiver X (2006),null,Eng.
8077,Flirtfehler (incl. öLffeltanz),188000,David Leukert,"Singles, Paare, Paradiese",2004,German
8078,Runnymede 68 (Mondo Paranoia),11:23,Englis Heretic,Mondo Paranoia,,
8079,The Tailor - Will You Follow,226,,The Salt,10,English
8080,ma cherie ～愛しい君へ～ - ma chérie ～愛しい君へ～,5.403,MALICE MIZER,,'96,Japanese
8081,004-Free,3m 47sec,Jake,Army of Love (unknown),null,Eng.
8082,Ben Sidran - Lover Man,359,,Live @ Fip,,English
8083,Haiku Fristajl - Kazik na wakacje,189,,Haiku Fristajl,06,Polish
8084,Unashamed - Stand,441,,Silence,94,English
8085,"004-Kantate, BWV 10 ""Meine Seel erhebt den Herren"": IV. Aria (Basso) ""Gewaltige stot Gott vom Stuhl""",2m 59sec,Johann Sebastian Bach,"Die Kompletten Werke, Volume 1: Kantaten, BWV 1-10, 12, 13 (feat. conductor: Helmuth Rilling) (2004)",null,Ger.
8086,I'll Be There (What Are You Lookin' At?),04:00,Rockell,What Are You Lookin' At?,1998,
8087,010-Sisters,3m 45sec,Mundy,Jelly Legs (1997),null,Eng.
8088,Faded - The Valley of Baca,4.115,Suzanne de Bussac,,,English
8089,Freeddom - Pineangle,427,,Metro Breaks 99: Deeper Drum & Bass From Darkest Toronto,99,English
8090,MercyMe - Burn Baby Burn,231,,Welcome to the New,14,English
8091,The Horrorist - Flesh Is the Fever (original mix),352,,Flesh Is the Fever: The Remixes,98,English
8092,Burn Baby Burn,231706,MercyMe,Welcome to the New,2014,ENGLISH
8093,Martin Price & Andy Whitmore - Brand New Day 2,60,,Feelgood,,English
8094,"Forever - 538 Dance Smash 2011, Volume 4",3.583,,,'11,English
8095,Valses nobles et sentimentales: III.,76960,Maurice Ravel,"Reger, Walker, Ravel, Liszt/Busoni (piano: Frederick Moyer)",1986,English
8096,Lady Luck (The Best Of...),03:39,Proclaimers,The Best Of...,2007,
8097,"Austra Pumpure - Pilsētā, kurā piedzimst vējš",206,unknown,Labākkās dziesmas,3,Latvian
8098,Delivery,459000,Mijk van Dijk & Thomas Schumacher,Delivery,1998,English
8099,Das ganz grosse lueck (im Zug nach Osnabrueck),3.1,Cliff & Rexonah,Das ganz grosse Glueck (im Zug nach Osnabrueck),,German
8100,026-Take It Easy,1m 44sec,Derrec k Simons,"Super Eurobeat, Volume 210 - Anniversary Hits 150 Tracks (2010)",null,Eng.
8101,Sono come tu mi vuoi,174373,CCCP Fedeli alla linea,"Compagni, cittadini, fratelli, partigiani / Ortodossia IIº",1988,Italian
8102,012-Ic eFlowers,3m 14sec,Bernward Koch,Silent Star (2011),null,Eng.
8103,He Is Legend - The Red Button,356,,A Kiss That Killed the One We Love (The Uriah Omen),00,Englissh
8104,Come on Children - Small Faces,4.349,Small Faces,,'96,English
8105,Stormy (Scott: The Collection 1967-1970),03:09,Scott Walker,Scott: The Collection 1976-1970,2013,
8106,Day of the Dead - Thrones,3.249,Alaya,,'14,English
8107,Broken Promises,302306,The S.O.S. Band,One of Many Nights,1991,English
8108,vulnerable - ex sententia - a journey through thorough thoughts,2.733,destophobia,,'06,English
8109,Borra - D'colore,4.467,Kinito Méndez,,'00,
8110,006-Black Watch Polka/Royal Scots Polka,2m 58sec,Strathclyde P. Piep B.,The Pipes and Drums of Scotland (unknown),null,Eng.
8111,"Gloria in D major, RV 589: I. Gloria in excelsis Deo",137253,Antonio Vivaldi,Vivaldi: Gloria / Händel: Gloria / Händel: Dixit Dominus,2001,English
8112,Cruel Little Number,278000,The Jeff Healey Band,Absolute Music 2,1993,English
8113,Brothers of the 4x4 - Brothers of the 4X4,3.967,Hank3,,'13,Englis
8114,This Is For You (Red Light Fix),03:26,Dirty Youth,Red Light Fix,2011,
8115,"004-Pianoconcert Nr. 1 in bes mineur, Op. 23: II. Andantino simplice",6m 54sec,,TuTTi (unknown),null,Fre.
8116,Días extraños,247000,LA JAULA,El color de las ideas,2007,n.a.
8117,City Winds,177973,The Silkie,"The Fantastic French 60's EP Collection, Volume 2",2007,English
8118,006-Little Old Ladyland,1m 17sec,Mel Brooks,The Producers: The Original Soundtrack Recording (1968),null,Eng.
8119,The Walk - Staring at the Sea: The Singles,3.5,Cure,,'01,English
8120,Andy Bey and the Bey Sisters - Feeling Good,175,,Andy Bey and the Bey Sisters,00,English
8121,010-The Money Shot,1m 59sec,Bazooka,aBlowhole (unknown),null,Eng.
8122,Robert Manos - Trouble,374,,Trouble / Madness,11,English
8123,Igor Dvorkin & Duncan Pittock - Waiting 2,125,,Light Tension 1: Slow,08,English
8124,Riccardo Cocciante - Sincerità,204,,Vakantie Kriebels,94,English
8125,Κρακ η λογική - Επιτέλους γελάει,4.825,Ποίμης Πέτρου,,'04,Greek
8126,All I Ask of You,293360,Michael,MichaelCrawfordPerformsAndrewLloydWebber,1991,E.
8127,007-Silicon Gene,3m 44sec,of of Rust,Six Years of Gene Therapy (2005),null,Eng.
8128,Säure-Anschlag (TKKG 66: Gauner mit der „Goldenen Hand“),03:49,Stefan Wolf,TKKG 66: Gauner mit der „Goldenen Hand“,2006,
8129,VAMP VAMP VAMP,,SuG,Thrill Ride Pirates,2011,Japanese
8130,What Cha Talkin' (The Story of Impulse!),04:57,Count Basie,The Story of Impulse!,,
8131,Makin' Happy (Hurley S Happy House mix 7) (The Dance Collection),03:51,Crystal Waters,The Dance Collection,2003,
8132,Adeptus Satanicus,284000,Manufacturer's Pride,Sound of God's Absence,2009,English
8133,[religious music] -b Sacrificium: Offerte Domino,96,,Spiritus Les chants de l'ame,,[Multiple languages]
8134,All Together Now One More Time,,Off White Lies,Off Whtie Lies,2084,English
8135,She and He,04:01,Tok Tok Tok,She and He,2008,
8136,Clipped - Cherry,4.255,Curve,,'91,English
8137,Year-Year of the Snake,4m 41sec,Anggun,Echoes (2012),null,Eng.
8138,023-I Don't Wanna Grow Up,3m 59sec,BMX Bandits,The Rise & Fall of BMX Bandits (2009),null,Eng.
8139,"Jag är din pojkvän, yeah! - Black Debbaths beste",,Black Debbath,,'09,Norwegian
8140,Charles Plogman - Alkaa rakkaus,199,,Jalat alta,05,Finnish
8141,"""Fats"" Waller and His Rhythm - Woe! Is Me",181,,"The Chronological Classics: Fats Waller 1935, Volume 2",94,English
8142,Reservoir of Soul,241000,Dime Store Prophets,Love Is Against the Grain,1995,Eglish
8143,Rakkautta huhtikuussa (April love) - Kuolemattomat levytykset,2.604,Hannu Hovi,,'07,Finnish
8144,012-I Hate to Go,2m 53sec,The Bates,Kicks'n'Chicks (1996),null,Eng.
8145,Tribestar (Rowcast),07:08,Platform,Rowcast,1995,
8146,Dragging Me Down - Precious,4.53,Inspiral Carpets,,'92,English
8147,007-A King's Procession,1m 52sec,TrevorM orris,The Tudors: Season 4 (2010),null,Eng.
8148,Triptonite (Playa mix) (Macao Cafe),07:46,Etnica,Macao Cafe,2001,
8149,Friend - Eight Ball (Kid Loops Big Lick),436,,Lost in Space: Drum 'n' Bass 2000,98,English
8150,Alex Wilson - Anglo-Cubano,320,,Anglo-Cubano,,[Multiple languages]
8151,010-A Hundred and Ten In the Shade,4m 29sec,John Fogerty,Live at Globen (Disc 2) (unknown),null,Eg.
8152,Satin Doll - It's All in the Swing (feat. the Swing Shift Band),2.804,Ray Pennington & Buddy Emmons,,'94,English
8153,Crystal Frontier (Buscemi instrumental remix),268186,Calexico,Real Ibiza VI: Poolside Chill & Hammock House,2003,English
8154,BXM: Cres: Attention (Brand X Music Catalogue: Editor's Essentials),00:07,"John Anthony Sponsler, Jr. & Tom Gire",Brand X Music Catalogue: Editor's Essentials,,
8155,It Ain't Nothin',244000,Keith Whitley,All American Country,2005,English
8156,"God Rest Ye Merry, Gentlemen - Holiday Festival of Music (2002)",2.634,Rochester Male Chorus,,,English
8157,Throwed Off (Freestyle) (Sorry 4 the Wait),02:58,Lil Wayyne,Sorry 4 the Wait,2011,
8158,Le Le Klub des 8... - Le Klub des 7,1.433,Klub des 7,,'06,French
8159,The Age of the Cathedrals,201573,Bruno elletier,Notre-Dame de Paris (2000 studio cast),1990,English
8160,Hank Ballard and The Midnighters - Come on and Get It,157,,Nothing but Good: 1952-1962,09,English
8161,The Unholy Spell 2010,238524,Torture Squad,Æquilibrium,2010,English
8162,Act 1 - Tutto è chiaro... Tosca? Che non mi veda... Mario ! Mario !,182000,Giacomo Puccini,Tosca (disc 1),1997,Italian
8163,Rölli laulutunnilla - Hirmuinen Rölli seikkailee,2.731,Rölli,,'02,Finnish
8164,Tänk på barnen,49000,Mob 47,Stockholms Mangel,2000,Swedish
8165,El Rey - L'As de diamant,4 .333,Marti,,'10,French
8166,018-The Hymn,2m 27sec,Charlie Parker QuIintet,The Complete Savoy & Dial Master Takes (2002),null,Eng.
8167,Flogging Molly - Saints & Sinners,211,,Speed of Darkness,11,English
8168,Moon Toon - Sexual Intercourse,,2 Doo,,'95,English
8169,24 (Healthy  at 100),03:01,JOHN Robbins,Healthy at 100,,
8170,魔王城 (クロノ・トリガー オリジナル・サウンド・ヴァージョン),00:29,光田康典,クロノ・トリガー オリジナル・サウンド・ヴァージョン,1995,unk.
8171,Kaşların Arasına (Nedir Ne Değildir (Affetmem Seni)),02:52,Edip Akbayram,Nedir Ne Değildir (Affetmem Seni),2007,
8172,Louis Bertignac et les Visiteurs - Je ne veux plus t'attendre,320,,Rocks,90,French
8173,For The Love Unborn (Nine Stories),06:16,T‐Square,Nine Stories,2011,
8174,Al Green - How Can You Mend a Broken Heart,384,,Greatest Hits,75,English
8175,The Star's Gone Out,365973,,Ghost,1997,English
8176,"Lobt Gott, Ihr Christen Allzugleich",142000,Stuttgarter Hymnus-Chorknaben,Deutsche Weihnachtslieder,,German
8177,Curious Baby,287000,BONNIE PINK,Blue Jam,1995,Japanese
8178,007-Grind,3m 0sec,Tangerine Dream,Sorcerer (2011),null,Eng.
8179,Der Weg ist lang - Gegengift,4.583,Manfred Maurenbrecher,,'02,eGrman
8180,You Broke My Heart in 17 Places,174306,Tracey Ullman,You Broke My Heart iin 17 Places,1984,English
8181,010-Naomi,4m 53sec,Neutral Milk Hotel,On Avery Island (1996),null,Eng.
8182,Allez hop ! - Les 100 plus belles chansons,3.814,Daniel Balavoine,,'08,French
8183,Paper Lanterns - Egocentric Plastic Men,9.733,Green Day,,'94,English
8184,Behind the Fence (Dramedy),02:07,Michael Price,Dramedy,,
8185,Intro,92706,Cosmmic Ekpyrosis,Nil sine Deo,2011,English
8186,Last of the Badmen (Gothic Road),05:06,Jackie Leven,Gothic Road,,
8187,D.С.П.Г.,3.0,Дай дарогу!,D.С.П.Г.,'08,Russian
8188,Christmas - Canaan Country Christmas,2.15,Lewis Family,,'81,English
8189,010-R&B for Mo and Me,4m 5sec,D'Wys,First Moves (1986),null,Eng.
8190,Shine the More,8000,Noise Music.,Noosed in the Alley,2012,nglish
8191,Chapter 7: The Dream Master - The Mastery of Love,8.317,Don Miguel Ruiz,,'02,unknown
8192,Stupid Cupid (Dogs and Cats Living Together),02:00,Stanford University Mixed Company,Dogs and Cats Living Together,2000,
8193,I Want to Live (Sheltor),04:31,Gordon Lang Wolfe,Shelter,2014,
8194,Hot Asphalt,212000,Molly OMaguire,Jug of Joy!,,English
8195,Lucky Boy (feat. Divokej Bill) (slow version),253226,The Lone rs,Samotáři,2000,[Multiple languages]
8196,013-I Can Tell (live),2m 49sec,Dr. Feelgood,All Through the City (With Wilko 1974-1977) (2013),null,Eng.
8197,Gnister (Dansende Drenge),02:43,City-X,Dansende Drenge,1983,
8198,Cold Shot (live) - S.R.V.,6.667,Stevie Ray Vaughan and Double Trouble,,'00,English
8199,Gigatrón - A mí sólo me gusta el rock,160,,Los dioses han llegado,98,Spanish
8200,Something - Pray,3.75,Lasgo,,'03,Eng lish
8201,003-Satin Doll,2m 48sec,Ray Pennington & Buddy Emmons,It's All in the Swing (feat. the Swing Shift Band) (1994),null,Eng.
8202,009-Bullet With Butterfly Wings,9m 13sec,The Smashing Pumpkins,"1998-05-14: Spielbudenplatz, Hamburg, Germany",1998,Eng.
8203,Ljósker,264933,Mósslonnrós,The Last Inch of Snow to Fall,,English
8204,005-2,3m 57sec,,(009),null,Jap.
8205,,02:56,John Katzenbach,Die Anstalt,,
8206,The Money Shot,119173,Bazooka,Blowhole,,English
8207,"Sinfonia in D major, No. 8: I. Allegro",167560,Jiří Antonín Benda,Sinfonias Nos. 7-12(Prague Chamber Orchestra feat. director Christian Benda),2006,English
8208,Der Wandler,501000,Cosmic Couriers,Other Places,1996,[Multiple languages]
8209,Falling Love,,Jan Kessler,Falling Love,'00,English
8210,001-Technotrance,6m 30sec,D-Shake,BoccaccEio Life (1996),null,Eng.
8211,Mav - Out of the Blue,490,,Out of the Blue,05,English
8212,Pret à tout (feat. K-Rlos),,La Swija,Track One 2,2008,French
8213,John Hendrix - Ballad of John Newton,null,,There Was a Time,,English
8214,緋月の狂想曲 (pop'n music 19 TUNE STREET original soundtrack),01:48,倉持武志,pop'n music 19 TUNE STREET original soundtrack,2011,
8215,011-Stranger on the Town,4m 28sec,The Damned,The Radio One Sessions (1997),null,Eng.
8216,Dan Gibson - Streaming,424,,null,,English
8217,[silence] - Sex and Drugs and Jesus Christ,0.017,Christian Detah,,'95,English
8218,012-Balloon Song,2m 11sec,Jaco Pastorius,Portrait of Jaco: The Early Years (2005),null,Eng.
8219,Tamara - Over and Over,255,,Tony Monaco Presents: Partymania Dance Hits,02,EnRglish
8220,"La Réalité - JFX Bits, Volume 1: Digital Antithesis",3.917,Phasm,,'07,English
8221,Voracidad - Mil siluetas,3.052,La Uniøn,,'93,Spanish
8222,007-Behind Her House,5m 19sec,Vladimir Hirsch,Out Of Your Objects (2011),null,Eng.
8223,Cornershop - Brimful of Asha,240,,The Greatest Hits of the 90s: The Story of the Decade,99,English
8224,Pagrīdē,268400,Satellites LV,Pagrīdē,2032,Latvian
8225,"Partita 1 in B-flat major, BWV 825: II. Allemande",289000,Johann Sebastian Bach,6 Partitas (harpsichord: Scott Ross),1999,English
8226,Don't Dream It's Over - The Best of Sixpence None the Richer,4.066,Sixpence None the Richer,,'04,English
8227,Let It Rain - Gold Country,2.55,Chuck Ragan,,'09,English
8228,009-Don't Set Me Free,2m 37sec,Ray Charles,Ultimate Hits Collection (1999),null,Eng.
8229,Another Unconventional Love Song (Hallway Admission),00:00,Hallway Addmission,Hallway Admission,2013,
8230,"Love Love Songs (demo mix) (X-Mix, Volume 9: Transmission From Deep Space Radio)",02:22,Chocolate City,"X-Mix, Volume 9: Tarnsmission From Deep Space Radio",1997,
8231,Children of God - Aesthetic Perfection,,Aesthetic Perfection,,,English
8232,Warsnare feat. Fille de la Lune - Murderous Times,262,,Brutalist,13,English
8233,Sleeping Wewelsburg - Palace of Toxicology,5.733,Bashed Nursling,,'11,English
8234,004-School's Out,4m 32sec,Demons & Wizards,The Fiddler in Paris (unknown),null,Eng.
8235,imp..res.02,7000,Hecker,OR MD comp.,2003,English
8236,007-,1m 9sec,,unk.,null,Jap.
8237,"Ой, красивые глаза",500466,Нэнси,В десяточку 8,1998,Russian
8238,The Hoosiers - Goodbye Mr A (radio edit),229,,Epipc,10,English
8239,Rockabye,340,,Lullaby Renditions of Bob Marley,n.a.,ENGLISH
8240,Susanna (Arthur Caravan),04:11,Arthur Caravan,Arthur Caravan,2009,
8241,005-Let's Do It (Let's vFall in Love),2m 57sec,Conal Fowkes,Mid night in Paris: Music From From the Motion Picture (2011),null,unknown
8242,"Mein Herze schwimmt im Blut 8 - Bach Masterpieces, Volume 5",2.483,Johann Sebastian Bach,,'93,German
8243,The Rolling Stones - Just My Imagination (Running Away With Me),278,,Some Girls,05,Enlish
8244,Blind Date (MAD Grooves),01:58,Green Jellÿ,MAD Grooves,,
8245,If I Had Me a Woman - Rockabilly Uprising: The Best of Mac Curtis,2.4,Mac Curtis,,'97,English
8246,004-Hasdi De Dand Ginda,5m 5sec,Gurdas Maan,"Solid Gold, Vol. II (unknown)",null,Pan.
8247,Circle of Hashibahbah,161080,ZBSFoundation,Ruby 5: The Land of Zoots,1998,English
8248,Love Is on My Mind (feat. Rietta Austin) (club mix) (Hed Kandi: Disco Heaven 01.04),08:07,Dogsax,HedK andi: Disco Heaven 01.04,2004,
8249,Les Albatros - L'Essentiel des albums studio 1960-1974,3.153,Léo Ferré,,'11,FrenAch
8250,006-Millennium,4m 0sec,Robbie Williams,Robbie Williams Hit Collection 2000 (unknown),null,Eng.
8251,Love Sensation 2006 (Eddie Thoneick's Sensation radio mix),3m 24sec,Eddie Thoneick & Kurd Maverick,100 Tubes Starfloor (2007),null,Eng.
8252,Lamento per la morte di Pasolini (b) - Correvano coi carri,1.096,Giovanna Marini,,,Italian
8253,Solidarity - Essentials,,Rancid,,'12,English
8254,[silence] (Sex and Drugs and Jesus Christ),00:01,Christian Death,Sex and Drugs and Jesus Christ,1995,
8255,世界快樂 (感覺完美),04:45,林憶蓮,感覺完美,,
8256,"Country Blues, Part Two",432586,Jimi Hendrix,Taj Mahal Sessions,,English
8257,Lassin serenaati,104040,Marit ja Mikot,Marit ja Mikot,,Finnish
8258,019-Big Brass Band From Brazil,3m 2sec,The Andrews Sisters & Danny Kaye,Andrews Sisters (2011),null,Eng.
8259,005-Days Go By,4m 49sec,Duncan Sheik,Duncan Sheik (1996),null,Eng.
8260,Vieille chanson irlandaise - Traité de mécanique populaire,1.976,ZNR,null,'79,French
8261,Dibujo en el agua II,199000,Silvio Rodríguez,Segunda cita,,Spanish
8262,Sur Le Chmin,172000,Dani Llamas,Speaking Thru the Others,,English
8263,The Danish Sharks - Schlafe mein Prinzchen,130,,"Ready, Steady, Complete 1963-1965",02,English
8264,Family Feud (The Wire Tapper 17),04:27,Von Südenfed,The Tapper Wire 17,2007,
8265,If You Let Me Love You 2 (Girl Talk),03:21,Andy Taylor,Girl Talk,,
8266,You Can't Hide (radio mix),,Holly Jump,You Can't Hide,1988,English
8267,[untitled] - On Basilisk Station,0.783,David Weber,,'09,English
8268,007-Lies,5m 10sec,Camel,On the Road 1982 (1994),null,Eng.
8269,Mr Untel - Que reste-t-il ? (unlimited mix),249,,Jacques Tati : Les Remixes de Mr Untel,02,French
8270,005-Da'ale Da'ale (Razor Maid mix),7m 38sec,,Ya Ba Ye (1989),null,Heb.
8271,Tribute to Mortality (Where Light Touches None),04:23,Twin Obscenity,Where Light Touches None,1997,
8272,Greedy,230000,Christopher Plaza Perreira,Don't Worry Mama,,English
8273,M.C.'s? - Lyrical Landscapes,3.48,Free Style Lee,,'99,English
8274,Gatonieve - Slender Skin,null,,Gatonieve,,English
8275,酒井法子 - 涙色,267,,〈COLEZO!〉Noriko Sakai Best Selection,05,Japanese
8276,Marti - El Rey,260,,L'As de diamant,10,French
8277,"Var. 11. Allegretto, Op. 120",1m 15sec,Mikulas Skuta,Ludwig van Beethoven Diabelli Variations (2013),null,Slo.
8278,Private Soul Security,03:33,Down Below,Pirvate Soul Security,2007,
8279,Rezitativ: Da berief Herodes die Weisen heimlich,57653,The King’s Singers & WDR Big Band,J.S. Bach: Christmas Oratorio,2010,German
8280,40,Rabbit Out of Hat,7000,Rick Cassman & Vyv Hope-Scott,Short Cuts & Idents,
8281,Warm Sjampanje - My Bezirkste Treffers,3.51,Zirk,,'04,Afrikaans
8282,Valerie Simpson - Genius II,206,,Thhe Collection,04,English
8283,Turn Your Head (The Plague That Makes Your Booty Move... It's the Infectious Grooves),0 1:19,Infectious Grooves,The Plague That Makes Your Booty Move... It's the Infectious Grooves,1991,
8284,To Serve the Master of Hell (Bowels of the Holy Anoint Us in Evil),00:57,Manticore,Bowels of the Holy Anoint Us in Evil,2003,
8285,Onyx - Golden Sax Melodies: Isn't It Saxy?,4.0,Fausto Papetti,,'88,English
8286,Daddy,126973,Ted Heath,Heath sv. Ros: Swing vs. Latin,2001,English
8287,"021-Comeback, The",2m 51sec,Shout Out Louds,ERG NRT 124 (unknown),null,Eng.
8288,The Zoo Gang: Incidental Cue - The Music of ITC,0.636,Ken Thorne,,'09,English
8289,Les petits soldats de Guillaume - Chanson interlopes,3.527,Émile Soubieran,,,French
8290,Jamaica Jamaica (Jazzy Summer),03:55,Special EFX,Jazzy Summer,2 009,
8291,光宗信吉 - 地球は人物陳列室,112,,,08,Japanese
8292,Els Cremats - El mariner i la nareta,null,,Què ens està passant!,10,unk.
8293,Tom Jones - My Way,214,,The Collection,00,English
8294,017-Sur les sentiers de la gloire,1m 40sec,Ludwig von 88,Live (1997),null,Fre.
8295,Twins - 可愛不可愛 (妍語版),193,,桐話妍語,08,Chinese
8296,"Ой, красивые глаза (В десяточку 8)",08:20,Нэнси,В десяточку 8,1998,
8297,aDreams Wide Awake (Complete),08:48,National Health,Complete,1990,
8298,"Pavana No. 1 (The Segovia Collection, Volume 5: The Legendary Andrés Segovia: Five Centuries of the Spanish Guitar)",01:20,Luis de Milán,"The_Segovia_Collection,_Volume_5:_The_Legendary_Andrés_Segovia:_Five_Centuries_of_the_Spanish_Guitar",1989,
8299,Tänkte mig en cirkus - 10 visor,3.303,Hanne Juul Trio,,'07,Swedish
